rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates
-6.65,1.26,2408,3,1830,0,,,,
-6.64,1.26,2411,13,1832,0,88.59140014648438,0.001,4.916327476501465,2309
-7.15,1.28,2415,25,1834,0,82.42695045471191,0.001,6.753115653991699,2313
-6.63,1.26,2417,33,1836,0,85.23931884765625,0.001,4.262816905975342,2316
-6.63,1.26,2420,43,1838,0,119.94059753417969,0.001,5.265176773071289,2318
-6.63,1.26,2422,51,1840,0,89.86885833740234,0.001,6.3686065673828125,2321
-6.88,1.27,2425,61,1842,0,96.26076889038086,0.001,4.909304618835449,2324
-6.88,1.27,2427,69,1844,0,45.60987854003906,0.001,7.331900596618652,2326
-6.88,1.27,2430,79,1846,0,148.04364013671875,0.001,4.874192237854004,2328
-6.88,1.27,2432,87,1848,0,88.16570281982422,0.001,7.172065734863281,2331
-7.13,1.28,2435,97,1850,0,132.44855499267578,0.001,5.996578216552734,2334
-7.38,1.29,2438,107,1852,0,57.34770202636719,0.001,5.042638778686523,2336
-7.38,1.29,2440,115,1854,0,121.47721099853516,0.001,5.6559739112854,2339
-6.9,1.27,2442,123,1856,0,120.74758911132812,0.001,6.982476234436035,2341
-7.14,1.28,2445,134,1858,0,61.062400817871094,0.001,7.017242431640625,2343
-6.69,1.26,2447,142,1860,0,96.5082015991211,0.001,5.83335542678833,2346
-6.67,1.26,2450,152,1862,0,94.14688110351562,0.001,7.020082473754883,2349
-6.93,1.27,2453,162,1864,0,101.93460845947266,0.001,7.604445457458496,2352
-7.16,1.28,2457,174,1866,0,128.80364990234375,0.001,5.777647972106934,2354
-7.16,1.28,2459,183,1868,0,106.80680847167969,0.001,4.930075645446777,2358
-7.41,1.29,2462,193,1870,0,56.91899490356445,0.001,6.008443355560303,2361
-7.41,1.29,2464,201,1872,0,63.048973083496094,0.001,7.393589973449707,2363
-7.43,1.29,2467,211,1874,0,93.52790832519531,0.001,7.67193078994751,2365
-7.71,1.3,2470,221,1876,0,82.22802734375,0.001,5.180289268493652,2368
-7.45,1.29,2472,229,1878,0,87.14907836914062,0.001,5.49355936050415,2371
-6.94,1.27,2474,238,1880,0,84.60231018066406,0.001,7.562714576721191,2373
-7.19,1.28,2477,248,1882,0,59.67557144165039,0.001,6.600438117980957,2375
-7.45,1.29,2480,258,1884,0,114.04672241210938,0.001,7.6766276359558105,2379
-7.7,1.3,2483,268,1886,0,101.6430435180664,0.001,7.75480318069458,2382
-7.45,1.29,2485,277,1888,0,86.87776184082031,0.001,4.260793685913086,2384
-7.7,1.3,2488,287,1890,0,98.86395263671875,0.001,9.2617769241333,2387
-7.7,1.3,2491,298,1892,0,83.17593383789062,0.001,4.417938232421875,2389
-7.7,1.3,2493,306,1894,0,83.78494262695312,0.001,3.6372251510620117,2392
-7.12,1.28,2495,315,1896,0,55.91621398925781,0.001,5.518516540527344,2394
-7.12,1.28,2497,323,1898,0,96.9248275756836,0.001,5.195284366607666,2396
-6.88,1.27,2499,331,1900,0,58.42975616455078,0.001,6.426762580871582,2398
-7.16,1.28,2503,344,1902,0,149.88758850097656,0.001,5.372315406799316,2401
-7.16,1.28,2505,353,1904,0,50.750244140625,0.001,5.688975811004639,2404
